id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,label
0,1062,244,475,35,36,280.0,488.0,1.005649209022522,0.9869281053543092,0,0,512,512,RBC
1,709,488,2,23,34,488.0,24.0,1.0026828050613403,0.991584837436676,0,0,512,512,RBC
2,1522,138,426,50,37,152.0,424.0,1.002241134643555,0.9856396913528442,0,0,512,512,RBC
3,819,291,478,31,32,312.0,504.0,1.0007082223892212,0.987864077091217,0,0,512,512,RBC
4,905,92,412,33,33,120.0,424.0,1.0006660223007202,0.9879385828971864,0,0,512,512,RBC
5,891,466,37,34,32,472.0,56.0,1.0002760887145996,0.9888142943382264,0,0,512,512,RBC
6,958,121,23,39,30,120.0,40.0,1.000177025794983,0.9875389337539672,0,0,512,512,RBC
7,875,0,267,27,36,24.0,280.0,0.9999355673789978,0.9897727370262146,0,0,512,512,RBC
8,893,92,452,31,35,104.0,456.0,0.9994786381721495,0.9888517260551452,0,0,512,512,RBC
9,1000,185,122,37,34,200.0,152.0,0.9990557432174684,0.981206715106964,0,0,512,512,RBC
10,889,55,463,33,33,72.0,472.0,0.999035656452179,0.9877232313156128,0,0,512,512,RBC
11,576,18,492,35,19,24.0,504.0,0.9989508986473083,0.987889289855957,0,0,512,512,RBC
12,909,242,39,36,31,264.0,40.0,0.9988990426063538,0.9890350699424744,0,0,512,512,RBC
13,979,139,360,35,35,152.0,360.0,0.998207151889801,0.9908443689346312,0,0,512,512,RBC
14,846,183,62,35,30,184.0,72.0,0.997956931591034,0.9917355179786682,0,0,512,512,RBC
15,987,318,61,37,33,344.0,88.0,0.9978577494621276,0.9909090995788574,0,0,512,512,RBC
16,1084,385,70,38,35,392.0,72.0,0.9975904822349548,0.989000916481018,0,0,512,512,RBC
17,1009,145,80,37,34,152.0,104.0,0.9975566864013672,0.9891625642776488,0,0,512,512,RBC
18,939,214,449,36,33,216.0,472.0,0.997437298297882,0.9883843660354614,0,0,512,512,RBC
19,881,168,152,31,34,168.0,168.0,0.99718576669693,0.9853603839874268,0,0,512,512,RBC
20,1011,285,35,38,33,296.0,56.0,0.997057557106018,0.9833496809005736,0,0,512,512,RBC
21,953,222,394,35,33,232.0,408.0,0.9970563054084778,0.9906152486801147,0,0,512,512,RBC
22,595,0,409,23,29,24.0,424.0,0.9968860745429992,0.994966447353363,0,0,512,512,RBC
23,979,39,348,34,34,56.0,360.0,0.996815025806427,0.9918616414070128,0,0,512,512,RBC
24,1029,92,190,35,36,120.0,216.0,0.9968060851097108,0.9874517321586608,0,0,512,512,RBC
25,758,106,58,34,28,120.0,72.0,0.9967744946479796,0.9895150661468506,0,0,512,512,RBC
26,1147,102,296,42,34,136.0,328.0,0.9966303706169128,0.984402060508728,0,0,512,512,RBC
27,1029,167,286,36,35,184.0,296.0,0.9965835213661194,0.9893617033958436,0,0,512,512,RBC
28,977,246,430,35,34,248.0,440.0,0.9964924454689026,0.9908069372177124,0,0,512,512,RBC
29,1035,25,19,41,30,40.0,40.0,0.996149480342865,0.9913461804389954,0,0,512,512,RBC
30,1182,169,241,39,38,200.0,248.0,0.9958671927452089,0.9848739504814148,0,0,512,512,RBC
31,1187,296,344,38,38,328.0,376.0,0.9957676529884338,0.9865996837615968,0,0,512,512,RBC
32,565,165,0,35,19,200.0,8.0,0.995667576789856,0.9894551634788512,0,0,512,512,RBC
33,1002,128,173,40,32,136.0,200.0,0.995543360710144,0.987077534198761,0,0,512,512,RBC
34,1070,69,7,36,35,72.0,24.0,0.99553781747818,0.9916279315948486,0,0,512,512,RBC
35,1027,70,56,34,37,88.0,72.0,0.9953527450561525,0.9825412034988404,0,0,512,512,RBC
36,841,362,253,32,32,376.0,264.0,0.9950644373893738,0.9869822263717652,0,0,512,512,RBC
37,876,363,2,34,30,392.0,8.0,0.9949787855148317,0.9920364022254944,0,0,512,512,RBC
38,897,315,223,33,34,328.0,232.0,0.9948140978813172,0.9789823293685912,0,0,512,512,RBC
39,981,192,419,36,34,216.0,424.0,0.994756519794464,0.9878542423248292,0,0,512,512,RBC
40,1241,62,136,39,40,72.0,168.0,0.994437038898468,0.981673300266266,0,0,512,512,RBC
41,1061,80,351,35,36,88.0,360.0,0.994363248348236,0.9851024150848388,0,0,512,512,RBC
42,824,482,122,29,32,488.0,136.0,0.9943060278892516,0.992727279663086,0,0,512,512,RBC
43,958,60,251,34,34,88.0,264.0,0.9942734837532043,0.9844720363616944,0,0,512,512,RBC
44,892,59,384,33,32,88.0,408.0,0.9940593838691713,0.9933035969734192,0,0,512,512,RBC
45,968,29,403,33,35,56.0,424.0,0.9940110445022584,0.9876543283462524,0,0,512,512,RBC
46,965,458,329,36,33,472.0,328.0,0.9939981698989868,0.984520137310028,0,0,512,512,RBC
47,786,482,195,29,32,488.0,216.0,0.9939452409744264,0.9898734092712402,0,0,512,512,RBC
48,443,33,0,33,15,56.0,8.0,0.9936083555221558,0.9888142943382264,0,0,512,512,RBC
49,813,173,346,32,31,200.0,360.0,0.9934985041618348,0.9865689873695374,0,0,512,512,RBC
50,1017,282,202,35,35,296.0,216.0,0.9932584166526794,0.9863680601119996,0,0,512,512,RBC
51,834,0,326,30,31,8.0,328.0,0.993255853652954,0.9964072108268738,0,0,512,512,RBC
52,1000,454,148,34,35,456.0,168.0,0.9931203722953796,0.9900398254394532,0,0,512,512,RBC
53,1017,323,119,37,34,344.0,152.0,0.992981493473053,0.9824390411376952,0,0,512,512,RBC
54,947,234,359,36,32,248.0,392.0,0.9926688075065612,0.9769392013549804,0,0,512,512,RBC
55,937,337,30,35,32,344.0,56.0,0.9926353096961976,0.9893730282783508,0,0,512,512,RBC
56,710,373,223,30,28,376.0,232.0,0.9921979308128356,0.9846153855323792,0,0,512,512,RBC
57,985,468,375,37,34,472.0,392.0,0.9921752214431764,0.9909090995788574,0,0,512,512,RBC
58,900,286,422,32,35,312.0,456.0,0.9918251633644104,0.9900332093238832,0,0,512,512,RBC
59,750,318,409,31,29,344.0,424.0,0.9917641282081604,0.9867549538612366,0,0,512,512,RBC
60,787,122,395,34,29,152.0,408.0,0.991747796535492,0.9873896837234496,0,0,512,512,RBC
61,922,401,206,35,35,408.0,232.0,0.9917410016059875,0.9913606643676758,0,0,512,512,RBC
62,900,398,247,32,35,408.0,248.0,0.9916456937789916,0.9856828451156616,0,0,512,512,RBC
63,779,183,459,28,35,184.0,472.0,0.9915156960487366,0.9847715497016908,0,0,512,512,RBC
64,945,367,305,34,34,376.0,312.0,0.9913426637649536,0.9831755757331848,0,0,512,512,RBC
65,1011,432,267,36,34,440.0,280.0,0.9913347363471984,0.9843137264251708,0,0,512,512,RBC
66,883,149,469,37,28,168.0,488.0,0.9912661910057068,0.985409677028656,0,0,512,512,RBC
67,838,120,333,33,30,120.0,344.0,0.9912078380584716,0.9881235361099244,0,0,512,512,RBC
68,1038,361,388,36,35,392.0,392.0,0.9911947250366212,0.9846889972686768,0,0,512,512,RBC
69,580,0,361,21,31,8.0,376.0,0.9911096692085266,0.979522168636322,0,0,512,512,RBC
70,1683,149,460,62,37,152.0,488.0,0.9910706281661988,0.9864066243171692,0,0,512,512,RBC
71,948,338,476,34,33,344.0,504.0,0.9910514950752258,0.99052631855011,0,0,512,512,RBC
72,788,17,492,70,19,40.0,504.0,0.9910173416137696,0.978643238544464,0,0,512,512,RBC
73,925,132,125,33,35,152.0,136.0,0.9909005761146544,0.983922839164734,0,0,512,512,RBC
74,1059,29,54,35,34,40.0,88.0,0.9907755255699158,0.9869036674499512,0,0,512,512,RBC
75,958,194,323,37,32,232.0,344.0,0.9906726479530334,0.9916840195655824,0,0,512,512,RBC
76,1049,431,468,35,37,456.0,472.0,0.9905659556388856,0.9848341345787048,0,0,512,512,RBC
77,882,475,248,36,31,488.0,248.0,0.990557849407196,0.9842519760131836,0,0,512,512,RBC
78,764,331,178,31,31,344.0,184.0,0.9904665350914,0.9818652868270874,0,0,512,512,RBC
79,1037,128,220,38,34,136.0,248.0,0.99029141664505,0.984674334526062,0,0,512,512,RBC
80,1001,362,99,40,32,392.0,104.0,0.99013751745224,0.9881070256233216,0,0,512,512,RBC
81,1082,426,185,41,33,456.0,216.0,0.9900410175323486,0.9853747487068176,0,0,512,512,RBC
82,927,402,339,34,33,408.0,360.0,0.9900094270706176,0.9914346933364868,0,0,512,512,RBC
83,207,234,0,32,8,248.0,8.0,0.9894896745681764,0.9903846383094788,0,0,512,512,
84,933,191,12,34,34,216.0,40.0,0.9893984198570251,0.9872340559959412,0,0,512,512,RBC
85,817,395,461,32,31,424.0,488.0,0.9893930554389954,0.9830303192138672,0,0,512,512,RBC
86,619,417,0,30,22,440.0,8.0,0.9893751740455629,0.9903069734573364,0,0,512,512,RBC
87,725,361,193,32,28,392.0,200.0,0.9893503189086914,0.9849108457565308,0,0,512,512,RBC
88,555,274,0,31,21,280.0,8.0,0.9892742037773132,0.9820788502693176,0,0,512,512,RBC
89,899,408,24,31,35,424.0,24.0,0.9892371296882628,0.9878453016281128,0,0,512,512,RBC
90,948,321,442,35,34,328.0,456.0,0.9891857504844666,0.985370934009552,0,0,512,512,RBC
91,987,373,163,40,32,376.0,184.0,0.989176869392395,0.9799398183822632,0,0,512,512,RBC
92,927,332,287,33,34,344.0,296.0,0.9891510605812072,0.9786780476570128,0,0,512,512,RBC
93,822,42,283,30,33,72.0,296.0,0.9890820384025574,0.9842615127563475,0,0,512,512,RBC
94,1051,91,230,34,38,120.0,264.0,0.988671898841858,0.9848484992980956,0,0,512,512,RBC
